timestamp,ip_address,method,page,status,country,user_id,sales_rep,conversion_value,lead_value
01/01/1900 16:35,155.55.4.75,GET,/services.html,200,USA,user_12941,sarah.johnson,0,0
01/01/1900 10:56,155.55.4.75,GET,/products/prototype-professional.php,200,USA,user_12941,sarah.johnson,0,0
01/01/1900 10:34,155.55.4.75,GET,/pricing.php,200,USA,user_12941,sarah.johnson,0,0
01/01/1900 13:29,155.55.4.75,GET,/quote-request.php,200,USA,user_12941,sarah.johnson,0,1335
01/01/1900 02:19,155.55.4.75,GET,/purchase.php,200,USA,user_12941,sarah.johnson,4348,0
01/01/1900 21:13,175.71.81.34,GET,/index.html,200,Canada,user_76232,david.jones,0,0
01/01/1900 13:55,175.71.81.34,GET,/products/ai-assistant-premium.php,200,Canada,user_76232,david.jones,0,0
01/01/1900 04:32,175.71.81.34,GET,/quote-request.php,200,Canada,user_76232,david.jones,0,1917
01/01/1900 18:17,175.71.81.34,GET,/purchase.php,200,Canada,user_76232,david.jones,5187,0
01/01/1900 06:25,128.2.162.198,GET,/scheduledemo.php,200,UK,user_15633,john.smith,0,0
01/01/1900 16:19,128.2.162.198,GET,/products/engineering-package-premium.php,200,UK,user_15633,john.smith,0,0
01/01/1900 09:08,128.2.162.198,GET,/purchase.php,200,UK,user_15633,john.smith,5964,0
01/01/1900 19:32,128.1.127.253,GET,/ai-solutions/innovation.php,200,UK,user_94621,john.smith,0,0
01/01/1900 05:46,128.1.127.253,GET,/products/innovation-suite.php,200,UK,user_94621,john.smith,0,0
01/01/1900 14:48,128.1.127.253,GET,/quote-request.php,200,UK,user_94621,john.smith,0,914
01/01/1900 12:31,128.1.127.253,GET,/purchase.php,200,UK,user_94621,john.smith,1267,0
01/01/1900 01:44,155.56.225.81,GET,/prototype.php,200,USA,user_39510,david.jones,0,0
01/01/1900 21:20,155.56.225.81,GET,/products/prototype-enterprise.php,200,USA,user_39510,david.jones,0,0
01/01/1900 22:10,155.56.225.81,GET,/sales-contact.php,200,USA,user_39510,david.jones,0,0
01/01/1900 12:50,155.56.225.81,GET,/purchase.php,200,USA,user_39510,david.jones,10958,0
01/01/1900 02:15,128.1.76.51,GET,/index.html,200,UK,user_41025,lisa.miller,0,0
01/01/1900 16:53,128.1.76.51,GET,/products/ai-assistant-premium.php,200,UK,user_41025,lisa.miller,0,0
01/01/1900 08:18,128.1.76.51,GET,/quote-request.php,200,UK,user_41025,lisa.miller,0,1876
01/01/1900 12:25,128.1.76.51,GET,/purchase.php,200,UK,user_41025,lisa.miller,7830,0
01/01/1900 10:49,155.55.80.23,GET,/services.html,200,USA,user_27101,sarah.johnson,0,0
01/01/1900 17:22,155.55.80.23,GET,/products/prototype-professional.php,200,USA,user_27101,sarah.johnson,0,0
01/01/1900 04:15,155.55.80.23,GET,/pricing.php,200,USA,user_27101,sarah.johnson,0,0
01/01/1900 18:50,155.55.80.23,GET,/quote-request.php,200,USA,user_27101,sarah.johnson,0,1154
01/01/1900 19:55,155.55.80.23,GET,/purchase.php,200,USA,user_27101,sarah.johnson,3392,0
01/01/1900 21:54,157.20.177.89,GET,/prototype.php,200,Germany,user_73351,robert.wilson,0,0
01/01/1900 17:00,157.20.177.89,GET,/products/prototype-enterprise.php,200,Germany,user_73351,robert.wilson,0,0
01/01/1900 19:11,157.20.177.89,GET,/sales-contact.php,200,Germany,user_73351,robert.wilson,0,0
01/01/1900 14:39,157.20.177.89,GET,/purchase.php,200,Germany,user_73351,robert.wilson,11829,0
01/01/1900 10:15,155.55.95.222,GET,/scheduledemo.php,200,USA,user_38016,david.jones,0,0
01/01/1900 02:44,155.55.95.222,GET,/products/engineering-package-premium.php,200,USA,user_38016,david.jones,0,0
01/01/1900 05:13,155.55.95.222,GET,/purchase.php,200,USA,user_38016,david.jones,4806,0
01/01/1900 22:59,175.71.243.113,GET,/scheduledemo.php,200,Canada,user_98994,david.jones,0,0
01/01/1900 19:17,175.71.243.113,GET,/products/engineering-package-premium.php,200,Canada,user_98994,david.jones,0,0
01/01/1900 04:50,175.71.243.113,GET,/purchase.php,200,Canada,user_98994,david.jones,3343,0
01/01/1900 03:38,155.55.132.92,GET,/prototype.php,200,USA,user_29444,david.jones,0,0
01/01/1900 13:59,155.55.132.92,GET,/products/prototype-enterprise.php,200,USA,user_29444,david.jones,0,0
01/01/1900 10:31,155.55.132.92,GET,/sales-contact.php,200,USA,user_29444,david.jones,0,0
01/01/1900 17:09,155.55.132.92,GET,/purchase.php,200,USA,user_29444,david.jones,11211,0
01/01/1900 11:39,128.1.2.167,GET,/ai-solutions/innovation.php,200,UK,user_71085,john.smith,0,0
01/01/1900 02:44,128.1.2.167,GET,/products/innovation-suite.php,200,UK,user_71085,john.smith,0,0
01/01/1900 23:11,128.1.2.167,GET,/quote-request.php,200,UK,user_71085,john.smith,0,896
01/01/1900 22:54,128.1.2.167,GET,/purchase.php,200,UK,user_71085,john.smith,2379,0
01/01/1900 06:19,160.30.94.34,GET,/ai-solutions/innovation.php,200,France,user_83242,robert.wilson,0,0
01/01/1900 14:47,160.30.94.34,GET,/products/innovation-suite.php,200,France,user_83242,robert.wilson,0,0
01/01/1900 09:39,160.30.94.34,GET,/quote-request.php,200,France,user_83242,robert.wilson,0,948
01/01/1900 11:10,160.30.94.34,GET,/purchase.php,200,France,user_83242,robert.wilson,1432,0
01/01/1900 12:28,175.70.171.89,GET,/services.html,200,Canada,user_70630,david.jones,0,0
01/01/1900 22:51,175.70.171.89,GET,/products/prototype-professional.php,200,Canada,user_70630,david.jones,0,0
01/01/1900 13:37,175.70.171.89,GET,/pricing.php,200,Canada,user_70630,david.jones,0,0
01/01/1900 04:21,175.70.171.89,GET,/quote-request.php,200,Canada,user_70630,david.jones,0,1824
01/01/1900 22:26,175.70.171.89,GET,/purchase.php,200,Canada,user_70630,david.jones,5185,0
01/01/1900 11:46,157.20.93.62,GET,/prototype.php,200,Germany,user_63260,michael.williams,0,0
01/01/1900 20:44,157.20.93.62,GET,/products/prototype-enterprise.php,200,Germany,user_63260,michael.williams,0,0
01/01/1900 19:24,157.20.93.62,GET,/sales-contact.php,200,Germany,user_63260,michael.williams,0,0
01/01/1900 20:00,157.20.93.62,GET,/purchase.php,200,Germany,user_63260,michael.williams,10670,0
01/01/1900 23:45,155.55.243.85,GET,/index.html,200,USA,user_98863,sarah.johnson,0,0
